area_name,sa4_code,sa4_name,sa2_main,sa2_name,area_sqkm,poi_count,z_poi,score,rank_group
area_2,117,Sydney - City and Inner South,117021328,Sydenham - Tempe - St Peters,3.8539,354,3.5664709131287085,0.9725210352923424,top_10
area_2,117,Sydney - City and Inner South,117031644,Sydney (North) - Millers Point,3.2122,315,3.0866582299136156,0.9563390431045456,top_10
area_3,118,Sydney - Eastern Suburbs,118011346,Rose Bay - Vaucluse - Watsons Bay,5.1368,141,2.8717714659252853,0.9464332277190236,top_10
area_1,120,Sydney - Inner West,120011385,Drummoyne - Rodd Point,3.7047,267,2.607473249741563,0.9313409993671848,top_10
area_3,118,Sydney - Eastern Suburbs,118021652,Malabar - La Perouse,8.4115,119,2.153828599443964,0.8960260034395057,top_10
area_1,120,Sydney - Inner West,120021389,Lilyfield - Rozelle,3.6039,235,2.133130525370602,0.8940818334846162,top_10
area_4,125,Sydney - Parramatta,125041489,North Parramatta,7.0608,132,2.033667270940876,0.884286855498564,top_10
area_4,125,Sydney - Parramatta,125021477,Ermington - Rydalmere,9.8655,119,1.6594454001016303,0.840163540570144,top_10
area_1,120,Sydney - Inner West,120021675,Leichhardt,2.9838,192,1.495732489497123,0.8169371293443725,top_10
area_4,125,Sydney - Parramatta,125031714,Merrylands - Holroyd,4.9525,112,1.4579413158035752,0.8112176024467267,top_10
area_4,125,Sydney - Parramatta,125031487,Yennora Industrial,2.0787,3,-1.6797651396947115,0.15712657076560402,bottom_10
area_4,125,Sydney - Parramatta,125011475,Rookwood Cemetery,3.015,9,-1.5070473531535213,0.181376787561593,bottom_10
area_4,125,Sydney - Parramatta,125031486,Smithfield Industrial,4.3017,11,-1.4494747576397913,0.19008241448675892,bottom_10
area_4,125,Sydney - Parramatta,125031716,South Wentworthville,1.7661,16,-1.3055432688554662,0.21323357210869942,bottom_10
area_4,125,Sydney - Parramatta,125011585,Berala,2.0865,20,-1.1903980778280063,0.23318774742850978,bottom_10
area_3,118,Sydney - Eastern Suburbs,118021565,Kingsford,2.0141,17,-1.1748155996967076,0.2359856452985495,bottom_10
area_4,125,Sydney - Parramatta,125011583,Auburn - North,2.0966,21,-1.1616117800711412,0.23837453968826572,bottom_10
area_4,125,Sydney - Parramatta,125041718,Parramatta - South,1.3881,21,-1.1616117800711412,0.23837453968826572,bottom_10
area_4,125,Sydney - Parramatta,125011584,Auburn - South,2.4313,22,-1.1328254823142763,0.24364004515410567,bottom_10
area_1,120,Sydney - Inner West,120031576,Strathfield South,2.5112,23,-1.0093900235870157,0.2670992410933125,bottom_10
